22329947,0.00,1872
22330947,0.00,1940
22331948,0.00,1940
22332948,0.00,1940
22333948,0.00,1940
22334949,0.00,1940
22335949,0.00,1940
22336950,0.00,1940
22337950,0.00,1940
22338950,0.00,1940
22339951,0.00,1940
22340951,0.00,1940
22341951,0.00,1940
22342952,1.00,1944
22343952,0.00,1944
22344953,1.00,1944
22345953,0.00,1944
22346953,1.00,1944
22347954,0.00,1944
22348954,0.00,1944
22349955,0.00,1944
22350955,0.00,1944
22351955,0.00,1944
22352956,0.00,1944
22353956,0.00,1944
22354957,0.00,1944
22355957,0.00,1944
